term,edf,ref.df,statistic,p.value
s(meanH_plot):Soil_fBlack,0.9494871904207467,9,0.3057293599488439,0.05546529323302285
s(meanH_plot):Soil_fRed,0.9070377198282479,9,0.19910061007758484,0.09462465971286038
s(sd_nlayers):Soil_fBlack,0.8178437252115072,9,0.4988377452378134,0.012395802683754842
s(sd_nlayers):Soil_fRed,1.0673996880770036e-5,9,5.033397645843806e-7,0.5236013399009496
s(horzcover_grass):Soil_fBlack,9.44212267482104e-6,4,1.6447487230103816e-7,0.9313105808398173
s(horzcover_grass):Soil_fRed,1.44983842415922,4,1.0647315629366385,0.030440520471980204
"s(X,Y)",8.674509756487632e-6,4,3.976894264542568e-7,0.8699261148483763
