term,edf,ref.df,statistic,p.value
s(sd_nlayers),1.6986911654379202,4,6.209922927755034,0.01958674875904587
s(cv_nlayers),6.187465779868787e-6,4,2.6435128693380163e-6,0.5721265741178952
s(mean_stdpeakh),3.236018236156302e-6,4,1.998350488414298e-7,0.9493453569519708
s(horzcover_grass),1.0101227118892477e-5,4,5.014150473861736e-6,0.5485262237272769
s(mean_PAI_G),0.25274305109486944,4,0.3382178904714501,0.21859147467573958
s(cv_cvpeakh),4.2369148386530335e-6,4,3.853700846536341e-7,0.8986331677293978
"s(X,Y)",1.0048451254492052,4,2.784237324271639,0.054515870078029716
