"","Spot","shannonH","Abundance","Richness","max.maxH.","mean.maxH.","sd.maxH.","cv.maxH.","median.maxH.","iqr.maxH.","mean.sdH.","sd.sdH.","mean.cvH.","sd.cvH.","cover_ground_maxH","cover_grass_maxH","cover_shrub_maxH","cover_tree_maxH","cover_woody_maxH","mean.sdH._grass","sd.sdH._grass","mean.cvH._grass","sd.cvH._grass","mean.sdH._shrub","sd.sdH._shrub","mean.cvH._shrub","sd.cvH._shrub","mean.sdH._tree","sd.sdH._tree","mean.cvH._tree","sd.cvH._tree","mean.sdH._woody","sd.sdH._woody","mean.cvH._woody","sd.cvH._woody","mean.coverG.","sd.coverG.","cv.coverG.","median.coverG.","iqr.coverG.","max.coverG.","mean.nlayers.","sd.nlayers.","cv.nlayers.","median.nlayers.","iqr.nlayers.","max.nlayers.","propMultiLayer","mean.gapsize.","sd.gapsize.","cv.gapsize.","median.gapsize.","iqr.gapsize.","max.gapsize.","mean.maxpeakh.","sd.maxpeakh.","cv.maxpeakh.","median.maxpeakh.","iqr.maxpeakh.","max.maxpeakh.","mean.ptoh.","sd.ptoh.","cv.ptoh.","median.ptoh.","iqr.ptoh.","max.ptoh.","mean.cscore.","sd.cscore.","cv.cscore.","median.cscore.","iqr.cscore.","max.cscore.","mean.FHD.","sd.FHD.","cv.FHD.","median.FHD.","iqr.FHD.","max.FHD.","mean.VDR.","sd.VDR.","cv.VDR.","median.VDR.","iqr.VDR.","max.VDR.","mean.VDRpeak.","sd.VDRpeak.","cv.VDRpeak.","median.VDRpeak.","iqr.VDRpeak.","max.VDRpeak.","mean.meanpeakh.","sd.meanpeakh.","cv.meanpeakh.","median.meanpeakh.","iqr.meanpeakh.","max.meanpeakh.","mean.stdpeakh.","sd.stdpeakh.","cv.stdpeakh.","median.stdpeakh.","iqr.stdpeakh.","max.stdpeakh.","mean.cvpeakh.","sd.cvpeakh.","cv.cvpeakh.","median.cvpeakh.","iqr.cvpeakh.","max.cvpeakh.","mean.herbh.","sd.herbh.","cv.herbh.","median.herbh.","iqr.herbh.","max.herbh.","X25thPerc_plot","X50thPerc_plot","X75thPerc_plot","X98thPerc_plot","X100thPerc_plot","meanH_plot","stdH_plot","Cover0p0m_plot","Cover0p05m_plot","Cover0p5m_plot","Cover1p0m_plot","Cover3p0m_plot","nlayers_plot","gapsize_plot","maxpeakh_plot","ptoh_plot","cscore_plot","FHD_plot","VDR_plot","VDRpeak_plot","meanpeakh_plot","stdpeakh_plot","cvpeakh_plot","herbh_plot","Soil","Treatment","Treatment_f","Soil_f","nlayers_plot_f","Transect_f"
"1","10A",3.24213886339926,165,41,-1.8856133602025,-0.981941079275174,-1.33111082602455,0.0253421958416467,-0.412561182529363,-0.86943014864212,-0.973076158699787,-1.1761973749645,-1.35143752037254,-0.371833712612189,-0.164183309890626,1.00467637458918,-0.623951567381972,-0.920713403319233,-0.746914662927849,-1.86565902785686,-2.38962792500895,-1.5466306601924,-1.93882692309741,0.166642406306784,-2.29014455469997,0.559203687666539,-0.311087305795688,NA,NA,NA,NA,-1.15950598788718,-1.54793405807088,0.980435272668926,-0.803574120559005,-1.05241195864395,-1.49035636262105,0.0269150832753248,-0.809699955714717,-1.06538219887826,NA,-1.14438805312386,-0.884620253932472,0.422358114834311,-1.07258322875602,-1.31993265821489,-1.00888754440384,-0.979103874169586,-0.932772672729404,-1.44982573946255,6.1998105171923,NA,-0.14142135623731,-1.76565607818928,-1.0774538551374,-1.55261249406023,0.334392327254348,-0.281694080058044,-0.629523571401849,-1.92677165562034,-0.771125311587061,-0.82969707645456,0.568189998769225,-0.537035484812914,-0.902954856355289,-0.124386356873978,-0.628960320248616,-1.29677350843166,-1.87029234823248,-0.390644859592487,-0.63141906599371,-1.89122357123747,-0.797149597582712,-0.977693958315459,-0.197009130156651,-0.542084250013248,-0.571753577593867,-2.25280050621669,0.430691634787725,-1.54525478105844,-1.22961428979495,-0.363869228630709,-0.343738100518474,-0.229183090852943,-0.986335054803153,-1.61696809298955,6.21673677692574,NA,-0.141421356237309,-0.572709963298474,-1.11532013941162,-1.57786346034164,0.354876055895083,-0.320177020293328,-0.707230070833427,-1.94226316797434,-0.926471266826643,-1.43542056982021,6.19982735221755,NA,-0.14142135623731,-1.75874834421861,-0.952036948073155,-1.53343796192337,6.20982156042712,NA,-0.14142135623731,-1.41929124969922,-1.32815011617591,-1.46711785360624,0.415434832837032,-0.68841357010525,-1.20384928735557,-1.74376420624261,-0.493000653888902,-0.737197429696241,-1.20774588747336,-1.64907856242313,-1.89975317994385,-1.24665673088709,-1.44757137501695,0.508694823233501,-1.07476618789788,-1.08755934274571,-1.01524518103167,-0.857839642972009,-1.15106906830129,-1.14794303463665,-1.12215265695483,-0.473858662174266,-1.82088030758567,-1.16187916314332,-0.0442586716984236,-1.39492863349071,-1.10881890713322,-1.17054335337517,-1.51865627256171,-0.896300113864845,"Black","Outside","Outside","Black","-1.15106906830129","10"
"2","10B",2.93380042095009,146,29,-1.61849045402475,-1.11933836556368,-1.54828866446884,0.378021683396678,-0.45067542169875,-0.834065742516295,-1.12133101997956,-1.43487728464739,-1.00077526354023,0.301264325994703,1.1657470930674,-0.121239297831735,-1.04031022029738,-0.920713403319233,-1.19037006558395,-1.07222948282321,-0.206528266609968,-1.00024426720135,0.440673023479655,-1.92013003816388,-1.93204587985345,1.14245190489234,-0.556264695538718,NA,NA,NA,NA,-1.25382051189908,-1.26179916920188,1.29404516844017,0.129451356533539,-1.43199842193881,-1.83586589244818,1.14500424984849,-1.1258516099269,-1.50880354494205,NA,-1.50041484815684,-1.59787131828958,1.35982299622133,-1.07258322875602,-1.31993265821489,-2.15535066304458,-0.980348791219012,-0.933242410515455,-1.47496778090669,NA,NA,-0.14142135623731,-2.32784345486351,-1.10608229619308,-1.6094006511598,1.30110810253682,-0.281694080058044,-0.629523571401849,-1.54103158442507,-0.887471594312343,-1.14683890274106,1.4026696461242,-0.537035484812914,-0.902954856355289,-0.344384111826945,-1.02535268198545,-1.4542832802252,-1.71811081827293,-0.390644859592487,-0.63141906599371,-1.42540495763218,-1.40239234291151,-1.4256881841031,0.626981425360533,-1.18670978944472,-0.708207784181052,-1.26457441820971,0.960612452426428,-1.54937762742532,-1.31532725690814,0.473354240503442,-0.533356213875902,-0.229183090852943,-0.987691308889503,-1.69720354981334,NA,NA,-0.141421356237309,-3.20649744404287,-1.15307839052738,-1.65248824368066,1.32661244366691,-0.320177020293328,-0.707230070833427,-1.5276925878304,-0.926926957766992,-1.45975848068863,NA,NA,-0.14142135623731,-2.31702898464961,-0.952998722905414,-1.58376573540435,NA,NA,-0.14142135623731,-1.72605448810683,-1.4884230976329,-1.7886369468321,1.15940085200867,-0.68841357010525,-1.20384928735557,-1.5575023491387,-0.488602028381913,-0.729339217361134,-1.2144109591485,-1.64367028434147,-1.62546083975118,-1.36915604414542,-1.5874476923175,-0.0298839370611425,-1.45366984893087,-1.21449940316119,-1.13990853572854,-0.857839642972009,-1.15106906830129,-1.14794303463665,-1.12215265695483,-0.445571671299073,-1.62592524253367,-1.5781372709624,0.220116636313236,-1.39492863349071,-1.10881890713322,-1.17054335337517,-1.51865627256171,-1.44784857248602,"Black","Outside","Outside","Black","-1.15106906830129","10"
"3","10C",3.15190726228338,133,32,-1.26151278889694,-1.08310415577207,-1.34712588424524,1.14316535082392,-0.536104537135652,-0.853580247014624,-1.06719654142439,-1.26960837493142,-0.584858978615151,1.50240523096538,1.74982942679566,-0.831065401048139,-0.848896422495069,-0.888745629280476,-1.03223609497894,-1.54289588159795,-0.628695415051685,-1.47656737759612,0.375617568327226,-0.963946781777033,-2.08350547639853,1.22544068173467,0.242160891863492,-1.19688193497688,-1.06831308355453,-1.10608361714697,-1.18654992239805,-1.13218903030766,-1.25264885172032,0.6666017178169,0.0187895954624619,-1.53814380855819,-2.05762183715432,1.65178615860896,-1.20059398469989,-1.68232403934566,NA,-1.55723168392519,-1.71888590406681,1.72975720435851,-1.07258322875602,-1.31993265821489,-1.00888754440384,-0.954205533181063,-0.915554353192424,-1.26456199819465,0.944752751754088,NA,-0.14142135623731,-0.990225213811025,-1.08869280874534,-1.41599196755792,2.65457171898987,-0.281694080058044,-0.629523571401849,-1.15529151322981,-0.910092167721677,-1.1745736732965,2.22406874703822,-0.537035484812914,-0.902954856355289,-0.414069030451521,-1.06362275962592,-1.24091075434316,-1.00215070860218,-0.390644859592487,-0.63141906599371,-1.19249565082954,-1.46551067445071,-1.20860519572352,1.32361692386261,-1.26688400923884,-0.857433608882019,-1.34783442431435,0.797267817294632,-1.31642347619677,-1.14536877828177,0.393578159471938,-0.354248922892763,-0.229183090852943,-0.959597140190949,-1.33388855659676,0.932441239054693,NA,-0.141421356237309,-0.520812673037501,-1.13572222229343,-1.44917158753551,2.57533674013736,-0.320177020293328,-0.707230070833427,-1.11312200768647,-0.909767836840737,-1.25608221210783,0.94474868881165,NA,-0.14142135623731,-0.988706081555158,-0.932008708967499,-1.34092024340925,0.928513994685822,NA,-0.14142135623731,-1.20950477698175,-1.51017082324707,-1.79357004229296,1.70227701877214,-0.68841357010525,-1.20384928735557,-1.05962905182747,-0.486664304212071,-0.720757777491574,-0.727764009157431,-0.876252107489636,-1.23937678680075,-0.955769025359111,-0.914530904632497,0.0797666104770773,-1.58149684850389,-1.16201181511248,-1.07675807719089,-0.836347967907587,-0.265631323454144,0.0737135137681541,-0.276380981426789,0.72903312102053,-1.23601511242968,-1.58822463193055,0.250696237499411,0.787270144697313,-0.316965178819401,-0.131671973703853,0.250881075133785,-1.54180613051625,"Black","Outside","Outside","Black","-0.265631323454144","10"
"4","10D",3.19662597827972,202,40,-1.2905744666139,-0.992394433986223,-1.30410153623094,0.231035903536043,-0.422356063399867,-0.810514169751058,-0.989285073951351,-1.19807390255272,-0.764051078805394,0.992079080746946,0.421054866094898,0.387093214301735,-0.583242274827662,-0.913278390009133,-0.926454586931655,-1.45487645741264,-1.37088185498979,-1.18089834531673,-0.519732766623705,-0.657787000495953,-1.30725912762696,1.37408611978306,1.16070812494529,-1.69788584537681,-1.13514343766146,-2.47579326017923,-1.95535666059207,-1.1505013072293,-1.21106469239567,1.19093812242998,1.07175686883302,-1.2106124234277,-1.28370984654939,0.722917718030203,-1.00229788836339,-1.24803483728912,NA,-1.32722482848234,-1.16035413996148,0.815099505887275,-1.07258322875602,-1.31993265821489,-1.00888754440384,-0.951713206213315,-0.915390820576568,-1.27075716182746,0.887187434181181,NA,-0.14142135623731,-0.990225213811025,-1.05508749527205,-1.35869099435933,1.16775825026011,-0.281694080058044,-0.629523571401849,-1.15529151322981,-0.807156470174889,-0.804430093589771,1.05596361888802,-0.537035484812914,-0.902954856355289,-0.26382349096258,-0.730535397880508,-1.27801597918184,-1.68194516458336,-0.390644859592487,-0.63141906599371,-1.42540495763218,-1.06281598525583,-1.15895731080642,0.0844071643377325,-0.817266224950387,-0.665465034561816,-1.42349140149776,1.14221356818312,-1.63421343271133,-1.39259304397521,0.634373869343866,-0.69753838912779,-0.229183090852943,-0.957361691396652,-1.3222032774433,0.867526379924883,NA,-0.141421356237309,-0.520812673037501,-1.09127559764149,-1.35936357463139,1.1205737437905,-0.320177020293328,-0.707230070833427,-1.32040729775843,-0.909609194437016,-1.26207923270163,0.88718314231678,NA,-0.14142135623731,-0.988706081555158,-0.929317366323495,-1.32176197887589,0.862966963283565,NA,-0.14142135623731,-1.24776771854657,-1.375247617974,-1.42495721512436,0.873417172816654,-0.68841357010525,-1.20384928735557,-1.09053145463445,-0.481848287654636,-0.721691035168725,-1.13295029130097,-1.13666268669527,-1.24942462165311,-1.11045559879339,-1.12570169777851,-0.0691024421476279,-1.22242296279562,-1.08030557208786,-1.00710546908488,-0.848799609279558,-1.15106906830129,-1.14794303463665,-1.12215265695483,-0.477682695560598,-1.23601511242968,-1.24265470316305,0.246315101571478,-1.39492863349071,-1.10881890713322,-1.17054335337517,-1.51865627256171,-1.31812219217665,"Black","Outside","Outside","Black","-1.15106906830129","10"
"5","10E",3.66381961321139,196,51,-1.1434134621558,-0.279000705183559,-0.317043251985271,-0.405722801271751,-0.536104537135652,0.412466721111021,-0.383988629159461,-0.458938501933685,-0.439150395333452,-0.304208969947974,1.74609329398333,-1.84249108670359,0.836027127596379,-0.65809738540326,0.402044904810339,-2.27591214876482,-1.17653549230495,-2.67880546561255,-1.07338551546288,1.58376176995464,0.240740190525041,-1.92894531063647,-1.73124556478,-1.06672710325459,-1.45278858975846,-0.944947671823239,-1.76120170976704,-0.856799914094416,-0.902821685647585,-1.42943772019284,-1.78260269019725,-0.855332485183419,0.347869718229756,0.969906924531361,-1.20059398469989,-0.595627906887412,NA,-0.872420328835188,0.0781406516406394,0.370244108347506,-1.07258322875602,-1.31993265821489,-1.00888754440384,-0.288938303245258,-0.534529901694234,-0.5659360923374,-0.269080364445178,NA,-0.14142135623731,-0.990225213811025,-0.421159271484723,-0.445910521235882,-0.399877280216125,-0.281694080058044,-0.629523571401849,-1.15529151322981,-0.535748291269447,-0.446535792808652,-0.0267356074600662,-0.537035484812914,-0.902954856355289,-0.646642593115507,-0.361739249222425,0.182087116603163,1.14081808290085,-0.390644859592487,0.871959662562742,-0.959586344026894,-0.630235070498834,0.947955219992355,1.49768125190788,-1.29231488601689,0.813814804167546,-0.818537056239339,0.342926904728527,0.310632354900751,0.00559902769519467,0.822077045641009,-0.0470461154219285,-0.229183090852943,-0.257635423219702,0.0990156853405855,-0.264579035538551,NA,-0.141421356237309,-0.520812673037501,-0.37394470084761,-0.301485292846244,-0.356137825988317,-0.320177020293328,-0.707230070833427,-1.11312200768647,-0.540137383947267,-0.579800810500019,-0.269089254479224,NA,-0.14142135623731,-0.988706081555158,-0.372498497019522,-0.282219753546113,-0.280099086508045,NA,-0.14142135623731,-0.291194179426064,-0.626633500831209,0.0196006554256404,0.0820437519693428,-0.68841357010525,-1.20384928735557,-0.747221330604236,2.88823303744211,1.26903789738007,0.270630739484015,-0.878367877490649,-1.16638652461756,0.4691673572255,-0.82111890419228,-0.313981333068668,-0.889852282742802,0.129105864158492,0.288567744384818,-0.777038572631275,-0.265631323454144,-0.34040735009788,-0.563083244317649,-0.177220529611542,-1.23601511242968,-0.385967753413461,0.240938725394201,0.768776934712669,-0.585390171468153,-0.483831763422945,0.280633699727236,-1.50104008331343,"Black","Outside","Outside","Black","-0.265631323454144","10"
"6","1A",3.47638660815234,253,55,0.192351372572067,0.458385404390552,0.417573246612503,-0.731094741647171,-0.0555244693655994,0.357083778648687,0.635093368693076,0.596713421807698,1.16523062882997,0.140083030205534,-0.867731910619751,0.232901627088776,0.722958466749924,0.476704110947035,0.638950025342115,1.131523823579,-0.207986244799318,1.48738396161575,-0.709393864316502,0.588422361014465,0.400334002165637,0.30055823874746,0.0112917666737159,0.169366820508812,-0.40639920077214,1.17235976514927,-0.0502952898104389,0.269300381738684,0.140374087602726,0.638721076185084,-0.285241301792897,0.975799277547246,0.330461943317749,-0.876389323980957,1.09103543050966,0.343306167997194,NA,1.1429611914609,0.391179374724048,-0.718078526775933,0.913682009681057,-1.31993265821489,0.137575574236888,0.785880983891937,0.574434370584023,0.624426074684868,-0.381109967977228,NA,-0.14142135623731,0.17292108275635,0.386366486041072,0.401920856136778,-0.5937481342888,-0.175794049961035,0.283525883303123,0.387668771551239,0.279166519694841,0.165704191810959,-0.620059339950419,0.269194358846367,0.28356036861283,-0.0877579003328823,0.637906752610394,0.713212112095381,0.329114523255714,-0.390644859592487,0.120270298284516,0.670778803591616,1.00333453342063,0.44047605604487,-0.806480720122359,0.675974957098875,0.103522276529374,0.625733907694955,-0.314592446505833,-0.0204510880703417,-0.006746740243159,-0.473568492536729,0.249060434436743,-0.229183090852943,0.777872771510931,0.927079009322031,-0.375919208950255,NA,-0.141421356237309,0.607953390138669,0.327298650269134,0.204145936616534,-0.608399878810042,-0.165874841838712,0.533524439400655,-0.0766955573266278,0.557750767929206,0.604882495740223,-0.380974011633207,NA,-0.14142135623731,0.166357312440017,0.730026238104098,0.736061579899045,-0.392019298666919,NA,-0.14142135623731,-0.0998794716019621,0.928935348289476,0.601511154409166,-0.619105016349133,1.13645375080108,0.676531056960738,0.137014954610898,-0.311175608931352,-0.0874870387096391,0.418402325453409,0.200857993701809,0.162939721331261,0.168910700583096,0.227918889813034,0.568527113341349,0.939220499160557,0.841058464394843,0.59521929683699,0.412435811809288,-0.265631323454144,0.0737135137681541,-0.276380981426789,-0.242918682774803,0.12867034293432,0.989924505046111,-0.135503752940036,0.787270144697313,-0.316965178819401,-0.131671973703853,0.250881075133785,1.24688825679466,"Black","Inside","Inside","Black","-0.265631323454144","1"
"7","1B",3.40440225435337,152,40,-0.291019911808655,-0.0506436121658784,-0.42352223718779,-0.899188817667308,-0.00607501071493588,0.0210344258356747,0.0256482202295934,-0.349457809855736,0.963255071873703,0.281954664125696,-0.891312009360585,0.0726080367401817,2.03835447111881,-0.442725277172638,0.60320783247435,0.194558132931022,-0.204620104877641,0.694691763686257,-0.106675464090235,-0.106369246939137,-0.859570487689633,-0.00908106400416928,-0.780265955451592,-0.38134814902645,-1.08426916699119,0.679432655096355,-0.855975690434325,-0.756402536372733,-0.679324632570401,0.354753952648946,-0.883981454860763,0.61742725787779,0.639456700591894,-0.641373150255525,0.451212497783154,0.735191499768325,NA,0.408605432886773,-0.00347674148684898,-0.60378616749983,0.913682009681057,0.742462120245875,0.137575574236888,-0.486159744190552,-0.594833894723136,-0.543635955557134,-0.209473893735695,NA,-0.14142135623731,-0.214794349432775,-0.330191465106183,-0.490975036558583,-0.527419724543952,-0.175794049961035,-0.148971226820285,-0.383811370839286,-0.141274764817685,-0.298095517293638,-0.543555201809872,-0.0412746572658201,-0.103549654364773,0.130515002638812,0.349784221678499,-0.159790757012217,-0.764643900625065,0.830120326634035,0.120270298284516,0.204960189986327,0.72528831565419,0.0919848926751172,-0.831624703467817,0.639896111963021,0.158094406817352,0.200043222262516,0.10243194065293,-0.0769026872980531,-0.179003181964308,0.104826520691882,0.0291828432672842,-0.229183090852943,-0.507696243580276,-0.278894869992318,-0.208057732885241,NA,-0.141421356237309,-0.50665886660269,-0.234399971886873,-0.410517327932697,-0.543032883007664,-0.165874841838712,-0.0542013812365414,-0.491266137470563,-0.598131879764841,-0.556689896795657,-0.209431020865949,NA,-0.14142135623731,-0.218663818891708,-0.454537937124553,-0.211550922392848,-0.213912664151054,NA,-0.14142135623731,-0.482508887250166,0.690964375052669,0.724980337778665,-0.519813148068984,-0.00837750988891811,0.919568165383785,0.028053641005548,-0.325263232560797,-0.0762254573223075,-0.427904863455814,-0.634886946805022,-0.300352219557915,-0.450693106088771,-0.640231361811874,0.466133492865453,0.697977755033854,0.827637317738007,0.173032652780704,-0.543309120618525,-1.15106906830129,-1.14794303463665,-1.12215265695483,-0.485547332606906,-0.261239787169679,0.510196286218579,-0.0291897468786916,-1.39492863349071,-1.10881890713322,-1.17054335337517,-1.51865627256171,2.02736310785742,"Black","Inside","Inside","Black","-1.15106906830129","1"
"8","1C",3.37137257573225,154,41,0.00751063075719099,-0.785046364699541,-0.572418013742946,1.00807306027855,-0.396322915351022,-0.826896834625894,-0.8107339235537,-0.637014509912127,-0.957475591507561,-0.716895003776807,-0.0681857690653372,0.855555682416194,-0.808654509327414,-0.650963330874291,-0.863829352421888,-0.95269397959183,-0.902751292649697,-0.652649262741793,-0.614210842881353,-0.852932288993579,-0.696828701961561,0.118351645861404,-0.72335733949742,-0.027683907052647,-0.517460822446035,-0.299815277251537,-0.399642773346325,-0.108781571348179,0.00409399287991035,0.202293235079983,-0.0374939076306325,-0.631634882653792,0.0126596617196631,0.253321499627418,-0.737903093248054,-0.582201481590313,NA,-0.733741284090668,-0.160656305373545,0.0624845139657202,-1.07258322875602,0.742462120245875,-1.00888754440384,-0.676721192558294,-0.638262093349231,-0.434457278813984,-0.111602118697001,NA,-0.14142135623731,0.17292108275635,-0.756805968922946,-0.531056685040689,0.283762041913984,-0.281694080058044,-0.581468336943692,0.00192870035597627,-0.53023254706494,-0.356044719961655,0.0539633326767358,-0.537035484812914,-0.571313863036559,0.109339715499904,-0.566433377212503,-0.699085597540836,-0.493896403601705,-0.390644859592487,-0.63141906599371,-0.0279491168163171,-0.636449151412014,-0.536028510774267,0.0127628465925754,-0.459133320118214,-0.417250796410317,0.597920564415428,0.985639361471159,-0.788023220409989,-0.853558787267904,0.856722636445744,-0.666071484370799,-0.229183090852943,-0.689775797946708,-0.566860205490428,-0.112113040727924,NA,-0.141421356237309,-0.502848226408702,-0.78514265220548,-0.591421583621167,0.218363002466602,-0.320177020293328,-0.641927201873738,-0.0766955573266278,-0.640767610774721,-0.452527150096254,-0.111610382481929,NA,-0.14142135623731,0.166357312440017,-0.651654887758181,-0.518280603815225,-0.112471091096666,NA,-0.14142135623731,-0.482508887250166,-0.868767098149944,-0.546646843037425,0.0831585231061805,-0.68841357010525,-0.999031361736219,1.03622069831346,-0.443362754548243,-0.640947025933613,-0.613850982039249,0.285077747757204,0.0290233651316496,-0.344761938975347,0.196293619353742,-0.499558533615851,-0.617784403242097,-0.604018604343704,-0.66999801220049,-0.413547656020439,-0.265631323454144,0.0737135137681541,-0.276380981426789,-0.217565748722809,-0.0662847221176797,-0.550410010848784,0.333740331203326,0.787270144697313,-0.316965178819401,-0.131671973703853,0.250881075133785,-0.425482785900138,"Black","Inside","Inside","Black","-0.265631323454144","1"
"9","1D",3.61847997854032,207,50,0.749183318323129,-0.556691736367904,-0.374234166683073,0.276203877803475,-0.246832599984262,-0.775063980799735,-0.541700344506714,-0.258415451043978,0.190098440789026,-1.13383511156316,-0.911193063986795,1.47076000399764,-0.40805091293914,-0.603183044997387,-0.648476751723943,0.732975152329291,-0.823648244955466,1.22099892818579,-1.41034748003065,-0.594099899740274,-0.636801037850738,0.19453205601589,-0.911444167064412,0.615272830664549,0.979817442742145,0.684002868432409,0.566924770653498,-0.0609940107627272,0.658995009387353,0.548751314637783,-0.154665026921758,0.65952374046778,-0.001303599373345,-0.844994295418557,0.713263793578145,0.0725860037683753,NA,0.695979220927829,-0.310018853777106,-0.736010215694085,0.913682009681057,0.742462120245875,0.137575574236888,-0.570664086735957,-0.499950021784931,-0.121494169587827,-0.162563579368081,NA,-0.14142135623731,0.580022286554931,-0.541510008300227,-0.327969641641896,-0.121432227097402,-0.175794049961035,-0.581468336943692,0.58053880714887,0.20434459222419,0.476247867877375,-0.4537586770606,0.186434995886231,-0.193783462379233,-0.0875106022952502,-0.426425619336037,-0.793659086729555,-0.955682631624845,-0.390644859592487,-0.63141906599371,-0.260858423618961,0.245937579650096,-0.855940880115489,-1.11615056031805,0.542343677464596,-1.24526086489868,-0.0703836190534839,-0.00584716041319808,-0.836153964540451,-0.666686197953367,-0.570498534939885,-0.179897056944023,-0.229183090852943,-0.572195315287867,-0.345508056971503,-0.173950988166605,NA,-0.141421356237309,-0.0926600283844711,-0.547147610608177,-0.495489303830724,-0.26017169589589,-0.165874841838712,-0.641927201873738,0.752445602961243,-0.501537243033186,-0.134426320493056,-0.16275254848308,NA,-0.14142135623731,0.570629500338328,-0.563582714059935,-0.337158276553852,-0.155821421763397,NA,-0.14142135623731,0.856694067518548,0.0446841201632587,-0.292003662832376,-0.580822775738994,0.370461777668086,0.164762059094214,-0.0536460013605881,-0.433712957067318,-0.679086252274786,-1.09129493383568,-0.294093607156795,0.804615724373034,-0.955975340352765,-0.52852053576584,0.654311386590671,0.656085188608505,-0.507580165990178,-0.688621028613912,-0.606411878804819,0.619806421393002,1.31607610536626,0.870428070136651,0.268792732207987,0.713535538090317,-0.133489685028016,0.12476274597955,-0.760875719731475,1.19963602964605,0.990199226224465,0.908165586827264,0.94031291587063,"Black","Inside","Inside","Black","0.619806421393002","1"
"10","1E",3.48837646451284,158,44,0.536380035780136,0.154459413388402,0.964399680932415,0.12976120343665,-0.422951505263334,-0.467403506472682,0.173866051401412,0.977478485886871,-0.278318122612814,0.410943808537377,0.798925564899569,-0.606846617259039,-0.693823721556249,0.296822282399776,-0.000121143333193918,-0.985322722639505,-0.484183532690246,-0.875150795372179,-0.160722363112677,0.967754553096367,0.461637271124924,0.143302966874812,0.128108318580285,0.581387293581218,1.18660833339963,-0.195426576453517,-0.00714957860855042,0.887012237669919,1.10830829644212,-0.295202706699329,-0.25457843978167,-0.598213263323713,0.556123884785758,0.50679576464357,-1.00059664731658,-0.210028935314977,NA,-0.443848241843006,0.877186106817866,0.103481437718244,-1.07258322875602,0.742462120245875,1.28403869287762,0.26635583418639,0.455437204310651,0.912387115551049,-0.339869923133094,NA,-0.14142135623731,0.560636514945475,0.322994812373668,0.972783056545692,-0.372252126401339,-0.281694080058044,-0.581468336943692,0.58053880714887,-0.350713792795026,-0.19731902487483,-0.215434410222437,-0.537035484812914,-0.371762820139451,-0.330246342631682,-0.230632807352132,0.527600246350327,1.59281416158385,-0.390644859592487,0.120270298284516,0.204960189986327,-0.479430630323658,0.783184208237528,1.00054459902221,-0.887564348933221,0.296395879923941,0.454673495034746,0.519902677727933,0.632573783717306,0.15858562293505,0.856722636445744,-0.672742681084158,-0.229183090852943,0.273268014621555,0.591291329183037,-0.33836668300664,NA,-0.141421356237309,0.756568357704184,0.272537901348448,0.949017114942583,-0.337469961167884,-0.320177020293328,-0.641927201873738,0.545160312889275,0.456694917606619,0.902664154778645,-0.340897419967034,NA,-0.14142135623731,0.551378443771742,0.269089729985952,0.606747471628196,-0.338366308620661,NA,-0.14142135623731,1.1436661292547,-0.13308225633401,0.701480798864435,-0.105236251474342,-0.68841357010525,-0.754669439900914,0.142385186630704,-0.230966399955046,0.839148971352063,1.71495008568309,1.00244584201623,0.532058096311827,1.36425499052284,1.28946838724661,-0.835056948405259,-0.531555715781717,-0.0156962483849905,0.0639717855045232,0.416670114827696,1.50524416624015,0.0737135137681541,0.870428070136651,-0.0273006176746471,0.518580473038318,0.129373135111214,0.358917570827126,0.665743336226794,0.817130415121576,0.601729435032707,0.955482778315635,-0.700741502911235,"Black","Inside","Inside","Black","1.50524416624015","1"
