term,edf,ref.df,statistic,p.value
s(mean_gapsize):Soil_fBlack,7.408888154673734e-6,4,1.384650700507292e-7,0.923267971224682
s(mean_gapsize):Soil_fRed,0.2658729889470409,4,0.09054030822705787,0.24491974281584494
s(sd_gapsize):Soil_fBlack,2.220770580542297,4,15.759010537624173,0
s(sd_gapsize):Soil_fRed,1.8811618856154997e-6,4,1.0390578489077864e-7,0.7088141400601462
s(VDRpeak_plot):Soil_fBlack,5.236274735629693e-6,4,4.026888971198909e-7,0.7158079854767745
s(VDRpeak_plot):Soil_fRed,0.9224740646296633,4,2.9741953605624603,5.795067029332746e-4
s(gapsize_plot):Soil_fBlack,3.7939303649984137e-6,4,6.964553946080862e-7,0.43894082471638063
s(gapsize_plot):Soil_fRed,0.06282138138647102,4,0.01675708279593551,0.28400082384681924
"s(X,Y)",0.26263488628899306,4,0.07582786749634575,0.3150021239145451
