term,edf,ref.df,statistic,p.value
s(mean_stdpeakh):Soil_fBlack,2.8533857046180884e-5,4,2.9391386534385855e-6,0.5893735929976076
s(mean_stdpeakh):Soil_fRed,1.2437518219080226e-6,4,3.880135348294969e-8,0.8778323679841793
s(Cover0p5m_plot):Soil_fBlack,2.1613829748429674,4,7.7676604543948224,3.473196807046719e-6
s(Cover0p5m_plot):Soil_fRed,1.0667652392254979e-6,4,3.3812640699255203e-9,0.9948677809606987
s(sd_ptoh):Soil_fBlack,1.5767059295368468e-6,4,1.591792296653976e-7,0.6218973567984106
s(sd_ptoh):Soil_fRed,6.990887874945691e-7,4,4.1619903252227695e-8,0.6741306240299824
s(cv_FHD):Soil_fBlack,1.6585759611096935,4,1.5876198187018713,0.024789467233739204
s(cv_FHD):Soil_fRed,3.338420362802224e-6,4,2.9694830406428367e-7,0.6173506661464154
"s(X,Y)",3.481769106440345e-6,4,1.1044389746864733e-7,0.9651506606001184
