term,edf,ref.df,statistic,p.value
s(meanH_plot),1.0863860937207417,4,0.7661052475472929,0.056830496985802115
s(Cover1p5m_plot),1.783837020076642e-6,4,9.732032343214064e-8,0.7374866114511602
s(sd_CD_AboveG),1.7236429752801967,4,7.510872261811388,0
s(cvpeakh_plot),0.8890418024805691,4,2.0029862433989707,0.003277090005636807
s(cv_cscore),1.0598666799911862e-5,4,9.007123706632054e-7,0.5481154409668808
s(cv_FHD),0.9193241063082991,4,2.847932272635894,4.3978208361639126e-4
"s(X,Y)",2.7775995479606023e-6,4,3.5157212651511435e-7,0.6854260852375642
