deltaAIC,rel.LL,weights,model_label,radius
14.899154343602888,5.816875140866687e-4,5.811997593934903e-4,meanH_plot,50
18.018196247602198,1.2229209863203757e-4,1.221895546653855e-4,Cover1p5m_plot,50
17.869391411286443,1.317379671500389e-4,1.316275026649139e-4,sd_CD_AboveG,50
37.892319762525375,5.9127199601222255e-9,5.907762045709145e-9,cvpeakh_plot,50
25.129079598942695,3.4937328826641494e-6,3.490803329306094e-6,cv_cscore,50
39.13770943863115,3.1721548413374937e-9,3.169494936536579e-9,cv_FHD,50
0,1,0.99916148330269,Combined,50
