term,edf,ref.df,statistic,p.value
s(sd_nlayers),1.8499722529822833,4,12.63716278695605,1.597057594691087e-4
s(meanH_plot),6.719850859522969e-6,4,2.3180452419517428e-7,0.9814423943340617
s(cv_nlayers),1.9013344078615252e-5,4,5.6136495072398594e-6,0.6966346909878521
s(horzcover_grass),1.0637103829553382e-5,4,3.954231714371845e-6,0.6437303916312694
s(cv_CD_AboveG),1.559693812147302,4,4.740902740219389,0.031364431359512945
s(cvpeakh_plot),0.7649779413017227,4,3.2548764647734587,0.03510008656320429
"s(X,Y)",0.10096270577118094,4,0.10853288900407868,0.3149302056458596
