term,edf,ref.df,statistic,p.value
s(cv_cvpeakh),1.2862407078191664,1.512209868735624,0.24612351647130223,0.7100876159089966
"s(X,Y)",2.0000096790907427,2.000019336364439,9.351462119782925,0.00931989271230016
