term,edf,ref.df,statistic,p.value
s(mean_cvH_tree),1.0000062984887526,1.0000125969462186,1.4589301370098036,0.227104363496606
"s(X,Y)",2.0000031699935654,2.000006339979318,0.8152386239769562,0.6652345694506369
