term,edf,ref.df,statistic,p.value
s(sd_nlayers),1.136986777501281,4,2.049214954378629,0.15468045447878265
s(cv_nlayers),1.6634999373275063e-5,4,1.0349797145706691e-5,0.4001121478648193
s(horzcover_tree),5.18566971565184e-6,4,3.710844278544289e-7,0.9124954607735252
s(horzcover_grass),1.1777371781450938e-5,4,4.687064719694018e-6,0.590440496562262
s(mean_PAI_G),0.6628917277263193,4,1.9663399841833749,0.06673051757186377
s(mean_CD_Ggrasslayer),3.1125012172404514e-5,4,2.3326904632633312e-5,0.2055179015626435
"s(X,Y)",1.0011421672011278,4,2.8094158808810437,0.05215485686545884
