term,contrast,null.value,estimate,conf.low,conf.high,adj.p.value
SoilTreatment,BlackOutside-BlackInside,0,-0.17779331306972213,-0.29533249661051275,-0.06025412952893147,0.0011455754978579868
SoilTreatment,RedInside-BlackInside,0,-0.06278744270547765,-0.16791768447229055,0.04234279906133527,0.3931892481502899
SoilTreatment,RedOutside-BlackInside,0,-0.3815932244900462,-0.4991324080308368,-0.26405404094925555,1.949720385141518e-10
SoilTreatment,RedInside-BlackOutside,0,0.11500587036424448,-0.002533313176546176,0.23254505390503513,0.05721128982024282
SoilTreatment,RedOutside-BlackOutside,0,-0.20379991142032405,-0.332557635852386,-0.0750421869882621,6.401790219637826e-4
SoilTreatment,RedOutside-RedInside,0,-0.31880578178456853,-0.43634496532535916,-0.20126659824377788,2.4504894335919403e-8
