term,contrast,null.value,estimate,conf.low,conf.high,adj.p.value
SoilTreatment,BlackOutside-BlackInside,0,-31.80000000000004,-71.25830300819354,7.658303008193457,0.15340261598670402
SoilTreatment,RedInside-BlackInside,0,-8.80000000000004,-44.09257912124208,26.492579121242002,0.9098115770455366
SoilTreatment,RedOutside-BlackInside,0,-38.30000000000004,-77.75830300819354,1.1583030081934567,0.06003517175723383
SoilTreatment,RedInside-BlackOutside,0,23,-16.458303008193496,62.458303008193496,0.41471799618066485
SoilTreatment,RedOutside-BlackOutside,0,-6.5,-49.72440527692307,36.72440527692307,0.9779435778558379
SoilTreatment,RedOutside-RedInside,0,-29.5,-68.9583030081935,9.958303008193496,0.2055663572161338
