term,edf,ref.df,statistic,p.value
s(mean_gapsize),3.8703098875315205,4.766559648031917,8.649826213182944,1.8082655875717446e-5
"s(X,Y)",2.000070857892617,2.0001396157409785,1.3556694363651678,0.26856703933385023
