,Shannon H,Richness,Evenness,Treatment,Soil
0,3.903853631187558,85,0.8787216024405194,Inside,Black
1,3.6710111910746708,79,0.8401544806174976,Inside,Black
2,3.7267573148393685,72,0.8714164751530321,Inside,Black
3,3.7869425815687303,78,0.8692209491645569,Inside,Red
4,3.731363895090146,73,0.8696886536914572,Inside,Red
5,3.9104220241402903,88,0.8733812500983388,Inside,Red
6,3.7586223374275805,65,0.9004009677141309,Outside,Red
7,3.7193013258166845,71,0.8725265403692982,Outside,Black
8,3.785262198167943,69,0.8939931468559008,Outside,Red
9,3.626263409449786,76,0.8373324156712063,Outside,Black
