term,edf,ref.df,statistic,p.value
s(Cover1p5m_plot):Soil_fBlack,2.157840724697836e-5,4,3.972606004505613e-6,0.2237254723032419
s(Cover1p5m_plot):Soil_fRed,9.354525533299289e-6,4,1.8093350667964365e-7,0.8897997187992751
s(mean_gapsize):Soil_fBlack,1.9463387329750568,4,11.909711809880738,0
s(mean_gapsize):Soil_fRed,0.862597888361693,4,1.5675941155454087,0.006456385134027909
s(meanpeakh_plot):Soil_fBlack,1.5418948009351413e-05,4,1.8041727441175047e-6,0.5454776822380606
s(meanpeakh_plot):Soil_fRed,1.2311615894762753e-5,4,4.7421925345670054e-7,0.8175895085862213
s(ptoh_plot):Soil_fBlack,1.1772460700377876e-5,4,4.4477237183317475e-7,0.8544774459744756
s(ptoh_plot):Soil_fRed,1.3650037791529943,4,2.350057075600434,0.0019941038183857174
"s(X,Y)",1.696309930963169,4,1.0928119059448556,0.057832573184452674
