term,edf,ref.df,statistic,p.value
s(Cover1p5m_plot),0.924680041126781,4,3.0688131530483274,2.54139310613688e-4
s(mean_gapsize),1.984121763614113e-4,4,4.2148279125976087e-5,0.03361732851350141
s(mean_stdpeakh),2.322736138354902,4,8.576952898130747,1.60732349707704e-6
s(meanpeakh_plot),1.7620174681823996e-5,4,1.9211603451717664e-6,0.5193478662881135
s(ptoh_plot),7.063625634965975e-6,4,2.8890104462008405e-7,0.8184985452527984
s(stdpeakh_plot),0.7433478070460945,4,0.7240496222657962,0.05233710137823977
"s(X,Y)",0.18784626812750402,4,0.05391769209667414,0.30330356920795076
