term,edf,ref.df,statistic,p.value
s(mean_stdpeakh),1.1529845867444553e-5,4,2.637297463714652e-6,0.30077128034935896
s(Cover0p5m_plot),2.6092977451884463,4,5.065535756240589,1.823949114545531e-4
s(mean_gapsize),3.654769735766035e-6,4,6.919384402834062e-7,0.35730430561187965
s(sd_ptoh),1.0865782452364628e-5,4,1.2979989698326663e-6,0.5590398177160156
s(cv_FHD),1.110913504860775,4,0.5004857736443086,0.1640101513502218
s(cv_CD_G),8.65994455098904e-6,4,1.5878736844528983e-6,0.28788873649849633
"s(X,Y)",1.1093638264184107e-5,4,3.4158822736686813e-7,0.9664161507965303
